participant,image,numberOfPoints,totalDistance,avgSegment,medianSegment,RankDistance
c,23,269,19343.04,72.18,53.67,1
b,39,133,12924.63,97.91,86.64,2
b,21,113,12717.03,113.54,90.29,3
d,21,160,10873.43,68.39,56.00,4
e,23,72,9758.13,137.44,89.50,5
m,23,65,8803.43,137.55,90.72,6
f,39,115,8542.81,74.94,60.02,7
g,23,87,8224.44,95.63,61.62,8
f,23,60,8108.52,137.43,76.49,9
e,39,87,6870.65,79.89,74.06,10
b,9,67,6651.58,100.78,83.94,11
h,39,63,6337.03,102.21,93.46,12
g,21,104,5498.59,53.38,48.41,13
b,23,48,5464.46,116.27,76.12,14
h,21,45,5423.33,123.26,123.18,15
f,21,70,5318.05,77.07,59.08,16
d,23,50,5205.55,106.24,82.04,17
d,39,86,4905.72,57.71,52.00,18
l,39,70,4443.07,64.39,55.11,19
g,39,54,4420.67,83.41,68.68,20
h,9,29,4406.38,157.37,137.87,21
j,23,40,4335.10,111.16,79.70,22
m,21,40,4325.86,110.92,90.61,23
e,21,55,4239.93,78.52,69.10,24
l,21,68,4144.15,61.85,53.00,25
k,39,58,4073.45,71.46,59.01,26
i,23,32,4070.27,131.30,96.88,27
j,21,56,3977.21,72.31,60.75,28
c,39,50,3944.55,80.50,65.73,29
h,23,39,3563.82,93.78,83.77,30
e,9,27,3218.76,123.80,122.61,31
j,39,44,3187.42,74.13,67.05,32
i,21,24,3134.14,136.27,125.48,33
i,39,29,3001.95,107.21,105.15,34
m,39,31,2918.61,97.29,80.10,35
k,23,20,2581.73,135.88,98.48,36
k,21,35,2528.51,74.37,59.96,37
d,9,32,2426.81,78.28,69.46,38
l,9,30,2308.87,79.62,76.16,39
m,9,16,1891.31,126.09,119.00,40
f,9,12,1327.84,120.71,128.04,41
g,9,25,1274.82,53.12,38.92,42
k,9,12,1169.85,106.35,75.29,43
c,21,13,969.23,80.77,50.63,44
j,9,9,804.57,100.57,102.55,45
l,23,5,438.13,109.53,108.40,46
c,9,11,340.53,34.05,11.79,47
i,9,3,254.76,127.38,127.38,48